Date,Close,Adj Close,Volume
1/20/2012,5.32,5.32,3311500
1/23/2012,5.354,5.354,2973000
1/24/2012,5.484,5.484,4290000
1/25/2012,5.594,5.594,3056000
1/26/2012,5.788,5.788,6355500
1/27/2012,5.866,5.866,3742000
1/30/2012,5.914,5.914,3645000
1/31/2012,5.814,5.814,4782000
2/1/2012,5.916,5.916,2616000
2/2/2012,6.05,6.05,4028500
2/3/2012,6.23,6.23,3822500
2/6/2012,6.36,6.36,3260500
2/7/2012,6.32,6.32,5108000
2/8/2012,6.386,6.386,3118500
2/9/2012,6.516,6.516,6385500
2/10/2012,6.22,6.22,9371000
2/13/2012,6.298,6.298,5789500
2/14/2012,6.634,6.634,9054000
2/15/2012,6.72,6.72,13809000
2/16/2012,6.836,6.836,11098500
2/17/2012,6.994,6.994,6883500
2/21/2012,6.9,6.9,5679000
2/22/2012,6.844,6.844,8273000
2/23/2012,6.906,6.906,4102000
2/24/2012,6.75,6.75,4799500
2/27/2012,6.724,6.724,3030000
2/28/2012,6.762,6.762,3061000
2/29/2012,6.682,6.682,2678500
3/1/2012,6.882,6.882,3517500
3/2/2012,6.808,6.808,2750000
3/5/2012,6.754,6.754,2335000
3/6/2012,6.622,6.622,2869000
3/7/2012,6.624,6.624,1824500
3/8/2012,6.614,6.614,3166500
3/9/2012,6.948,6.948,7767000
3/12/2012,7.202,7.202,9816500
3/13/2012,7.218,7.218,5008000
3/14/2012,7.058,7.058,4257500
3/15/2012,7,7,2858000
3/16/2012,7.064,7.064,3646500
3/19/2012,6.996,6.996,5078000
3/20/2012,6.992,6.992,2835000
3/21/2012,7.03,7.03,3036000
3/22/2012,6.88,6.88,2612000
3/23/2012,6.816,6.816,5853000
3/26/2012,7.48,7.48,15702500
3/27/2012,7.588,7.588,12696000
3/28/2012,7.57,7.57,4775000
3/29/2012,7.466,7.466,3982000
3/30/2012,7.448,7.448,4432000
4/2/2012,7.316,7.316,5143000
4/3/2012,7.602,7.602,5490500
4/4/2012,7,7,22409000
4/5/2012,6.896,6.896,7547000
4/9/2012,6.63,6.63,8278500
4/10/2012,6.492,6.492,9238500
4/11/2012,6.618,6.618,5527500
4/12/2012,6.688,6.688,5169500
4/13/2012,6.718,6.718,3248000
4/16/2012,6.45,6.45,5498000
4/17/2012,6.448,6.448,5577500
4/18/2012,6.532,6.532,4115500
4/19/2012,6.632,6.632,3874500
4/20/2012,6.632,6.632,4109000
4/23/2012,6.388,6.388,4454000
4/24/2012,6.364,6.364,3372500
4/25/2012,6.582,6.582,3561000
4/26/2012,6.698,6.698,2126500
4/27/2012,6.668,6.668,2955000
4/30/2012,6.626,6.626,2069500
5/1/2012,6.756,6.756,3295000
5/2/2012,6.788,6.788,2486500
5/3/2012,6.492,6.492,4206500
5/4/2012,6.366,6.366,6237500
5/7/2012,6.494,6.494,5790000
5/8/2012,6.038,6.038,15486000
5/9/2012,6.012,6.012,9739500
5/10/2012,6.592,6.592,27781500
5/11/2012,6.45,6.45,6106500
5/14/2012,6.012,6.012,6904500
5/15/2012,5.886,5.886,7928500
5/16/2012,5.836,5.836,6285500
5/17/2012,5.714,5.714,5745000
5/18/2012,5.512,5.512,8082500
5/21/2012,5.754,5.754,7376000
5/22/2012,6.16,6.16,11831000
5/23/2012,6.204,6.204,6102000
5/24/2012,6.056,6.056,5378000
5/25/2012,5.962,5.962,3785000
